               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10949,            0.026307,                   0,           0.0010481,             0.20608,          0.00075503,          0.00021945,             0.10286,              0.0153,                   0,            0.070286,           0.0033016,           0.0033016
                   1,             0.10456,            0.026222,                   0,            0.014706,             0.02027,           0.0029609,          0.00081751,                 nan,                 nan,                   0,            0.040226,           0.0065752,           0.0065752
                   2,            0.099216,            0.025558,                   0,           0.0018348,             0.35811,           0.0055712,           0.0011942,            0.088842,            0.014152,                   0,            0.010106,           0.0097888,           0.0097888
                   3,            0.093721,            0.024802,                   0,           0.0032386,             0.63514,            0.031668,            0.007988,            0.086573,            0.012171,                   0,             0.00973,             0.00973,             0.00973
                   4,            0.086812,            0.023517,                   0,            0.077222,             0.13514,            0.047627,            0.012507,            0.075917,            0.014136,                   0,             0.00973,             0.00973,             0.00973
                   5,            0.081792,            0.022671,                   0,            0.062503,            0.064189,            0.020996,           0.0053135,            0.087997,            0.012007,                   0,             0.00964,             0.00964,             0.00964
                   6,            0.076429,            0.022305,                   0,             0.21992,             0.21959,             0.12638,            0.035722,            0.068578,            0.014566,                   0,             0.00955,             0.00955,             0.00955
                   7,            0.072442,            0.022324,                   0,             0.26739,             0.29054,             0.18681,            0.051706,            0.065012,            0.013174,                   0,             0.00946,             0.00946,             0.00946
                   8,            0.068867,            0.021985,                   0,             0.30148,             0.28378,             0.20097,            0.063622,            0.062684,            0.014632,                   0,             0.00937,             0.00937,             0.00937
                   9,            0.066679,            0.021882,                   0,             0.31692,             0.33446,             0.25215,              0.0785,            0.059931,            0.013583,                   0,             0.00928,             0.00928,             0.00928
                  10,            0.065327,            0.022053,                   0,              0.4135,             0.32432,             0.31322,             0.11399,            0.057193,            0.014303,                   0,             0.00919,             0.00919,             0.00919
                  11,            0.063481,            0.022011,                   0,             0.38836,             0.40541,              0.3496,             0.13478,            0.058045,            0.012785,                   0,              0.0091,              0.0091,              0.0091
                  12,            0.061521,             0.02111,                   0,             0.37983,             0.39527,             0.32832,             0.11505,            0.056429,            0.012293,                   0,             0.00901,             0.00901,             0.00901
                  13,            0.060986,            0.020888,                   0,             0.41525,             0.42568,             0.36124,              0.1335,             0.05522,            0.012284,                   0,             0.00892,             0.00892,             0.00892
                  14,            0.060219,            0.021009,                   0,              0.4481,             0.36824,             0.33632,             0.12486,            0.056506,            0.012875,                   0,             0.00883,             0.00883,             0.00883
                  15,            0.059521,            0.020766,                   0,             0.46739,             0.46842,             0.44855,             0.17454,            0.052849,            0.011949,                   0,             0.00874,             0.00874,             0.00874
                  16,            0.058962,            0.020738,                   0,             0.46699,             0.47635,             0.42831,             0.16081,            0.051409,            0.012512,                   0,             0.00865,             0.00865,             0.00865
                  17,             0.05816,            0.021021,                   0,             0.44959,             0.46622,             0.41074,              0.1522,            0.051278,            0.013433,                   0,             0.00856,             0.00856,             0.00856
                  18,             0.05717,            0.020398,                   0,              0.5113,             0.47973,             0.47675,             0.18356,            0.052079,            0.011577,                   0,             0.00847,             0.00847,             0.00847
                  19,            0.056022,            0.020698,                   0,             0.47907,             0.39189,               0.422,             0.15664,            0.053034,            0.011929,                   0,             0.00838,             0.00838,             0.00838
                  20,            0.056694,            0.020273,                   0,             0.49506,             0.43919,             0.47893,             0.20216,            0.050236,            0.012619,                   0,             0.00829,             0.00829,             0.00829
                  21,            0.056709,            0.020405,                   0,             0.46431,             0.46284,             0.43851,             0.17395,            0.052645,            0.011963,                   0,              0.0082,              0.0082,              0.0082
                  22,            0.055239,            0.020248,                   0,              0.4294,             0.45763,             0.42686,             0.16067,            0.050936,            0.011427,                   0,             0.00811,             0.00811,             0.00811
                  23,            0.054462,            0.020452,                   0,              0.4915,             0.48986,              0.4618,             0.19646,            0.049181,            0.013235,                   0,             0.00802,             0.00802,             0.00802
                  24,            0.054658,            0.019991,                   0,             0.42646,              0.4527,             0.43162,             0.18942,             0.04894,            0.012994,                   0,             0.00793,             0.00793,             0.00793
                  25,            0.055078,            0.020338,                   0,             0.38652,             0.41554,             0.36639,             0.14056,            0.053041,            0.012634,                   0,             0.00784,             0.00784,             0.00784
                  26,            0.054212,            0.020157,                   0,             0.49252,             0.56419,              0.5142,             0.20626,            0.048167,             0.01208,                   0,             0.00775,             0.00775,             0.00775
                  27,            0.053253,            0.019577,                   0,             0.54684,             0.51689,             0.50121,              0.2099,            0.048724,            0.011546,                   0,             0.00766,             0.00766,             0.00766
                  28,            0.053118,            0.019655,                   0,             0.47004,             0.53936,             0.48879,             0.19309,            0.049753,            0.011416,                   0,             0.00757,             0.00757,             0.00757
                  29,            0.053267,            0.019777,                   0,             0.54041,             0.45608,             0.47864,             0.20315,            0.050424,            0.011788,                   0,             0.00748,             0.00748,             0.00748
                  30,            0.053094,            0.020015,                   0,             0.49769,             0.50676,             0.48107,               0.201,             0.04948,            0.011812,                   0,             0.00739,             0.00739,             0.00739
                  31,            0.053278,            0.020218,                   0,             0.51457,             0.47629,             0.48423,             0.21221,            0.047402,             0.01226,                   0,              0.0073,              0.0073,              0.0073
                  32,            0.052182,            0.019703,                   0,             0.57821,             0.52703,             0.52568,               0.226,            0.046947,            0.011659,                   0,             0.00721,             0.00721,             0.00721
                  33,            0.051708,            0.018871,                   0,             0.50736,             0.50676,             0.51575,             0.20881,            0.048082,             0.01125,                   0,             0.00712,             0.00712,             0.00712
                  34,            0.051965,            0.019127,                   0,               0.434,             0.48649,             0.44595,             0.18449,            0.047345,            0.012413,                   0,             0.00703,             0.00703,             0.00703
                  35,            0.051809,            0.019389,                   0,             0.55207,             0.51689,             0.53077,             0.23363,            0.047406,            0.011512,                   0,             0.00694,             0.00694,             0.00694
                  36,            0.051353,            0.018976,                   0,             0.59387,             0.45943,             0.50928,             0.20996,            0.049092,             0.01151,                   0,             0.00685,             0.00685,             0.00685
                  37,            0.050997,            0.019854,                   0,             0.49845,              0.4527,             0.44831,             0.18246,            0.048284,            0.011372,                   0,             0.00676,             0.00676,             0.00676
                  38,            0.050191,            0.019373,                   0,             0.48732,             0.55405,             0.53266,             0.22322,            0.047917,            0.011418,                   0,             0.00667,             0.00667,             0.00667
                  39,            0.050584,            0.019541,                   0,             0.50096,             0.55279,             0.52737,             0.22301,              0.0464,            0.011161,                   0,             0.00658,             0.00658,             0.00658
                  40,            0.050644,            0.019458,                   0,             0.60694,             0.51123,             0.56322,             0.23531,            0.048224,            0.011001,                   0,             0.00649,             0.00649,             0.00649
                  41,            0.050066,            0.019511,                   0,              0.5412,             0.41892,             0.48319,             0.18706,            0.049629,            0.011615,                   0,              0.0064,              0.0064,              0.0064
                  42,            0.050134,            0.019362,                   0,             0.60558,             0.49276,             0.54548,             0.23486,            0.046713,            0.012033,                   0,             0.00631,             0.00631,             0.00631
                  43,             0.05016,            0.018572,                   0,             0.45842,             0.54048,             0.53017,             0.23372,            0.047823,            0.011699,                   0,             0.00622,             0.00622,             0.00622
                  44,            0.049242,            0.018895,                   0,             0.54192,             0.56081,             0.54711,              0.2337,            0.047225,            0.010789,                   0,             0.00613,             0.00613,             0.00613
                  45,            0.049282,            0.019179,                   0,             0.58963,             0.56757,             0.59791,             0.24454,            0.048867,            0.011252,                   0,             0.00604,             0.00604,             0.00604
                  46,            0.048611,            0.019035,                   0,             0.49379,             0.55068,             0.53083,             0.23269,             0.04727,            0.011558,                   0,             0.00595,             0.00595,             0.00595
                  47,            0.048437,            0.019023,                   0,             0.55745,             0.50641,              0.5348,              0.2239,            0.047088,            0.011375,                   0,             0.00586,             0.00586,             0.00586
                  48,             0.04895,            0.018273,                   0,             0.53339,             0.58446,             0.56535,             0.24364,            0.045908,            0.011648,                   0,             0.00577,             0.00577,             0.00577
                  49,            0.048439,            0.018863,                   0,             0.46415,             0.55014,             0.51371,             0.21997,            0.046284,            0.011671,                   0,             0.00568,             0.00568,             0.00568
                  50,            0.048406,            0.018354,                   0,             0.48549,             0.54392,             0.51379,             0.21254,             0.04662,            0.011187,                   0,             0.00559,             0.00559,             0.00559
                  51,            0.048877,            0.018846,                   0,             0.52266,             0.56757,             0.56276,             0.24593,            0.047025,            0.011509,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.047216,             0.01834,                   0,             0.50613,              0.5678,              0.5273,             0.22419,            0.046645,            0.011022,                   0,             0.00541,             0.00541,             0.00541
                  53,            0.047995,            0.018626,                   0,             0.54766,             0.45402,             0.49822,             0.21566,            0.047561,            0.011039,                   0,             0.00532,             0.00532,             0.00532
                  54,             0.04781,            0.018607,                   0,             0.57084,             0.57095,             0.59559,             0.25853,            0.046647,            0.010847,                   0,             0.00523,             0.00523,             0.00523
                  55,             0.04755,            0.018853,                   0,             0.48447,             0.53716,             0.51237,             0.22515,             0.04749,            0.011433,                   0,             0.00514,             0.00514,             0.00514
                  56,            0.047557,             0.01845,                   0,             0.59877,             0.55963,             0.60701,             0.26254,            0.044985,             0.01041,                   0,             0.00505,             0.00505,             0.00505
                  57,            0.047816,            0.018502,                   0,             0.53129,             0.59459,             0.56763,             0.26605,            0.046003,            0.011582,                   0,             0.00496,             0.00496,             0.00496
                  58,            0.046827,            0.018457,                   0,             0.55935,             0.55405,              0.5578,             0.25766,            0.044458,            0.010585,                   0,             0.00487,             0.00487,             0.00487
                  59,            0.046835,            0.018023,                   0,              0.6096,             0.54054,             0.60716,             0.27569,            0.045587,             0.01055,                   0,             0.00478,             0.00478,             0.00478
                  60,            0.046493,            0.018273,                   0,             0.61054,             0.53041,             0.57309,             0.25311,            0.046384,             0.01058,                   0,             0.00469,             0.00469,             0.00469
                  61,            0.046884,            0.019137,                   0,             0.61212,             0.52027,              0.5915,             0.25081,            0.045915,            0.010551,                   0,              0.0046,              0.0046,              0.0046
                  62,            0.046226,             0.01821,                   0,             0.58036,             0.55743,             0.59281,             0.25224,            0.045084,             0.01098,                   0,             0.00451,             0.00451,             0.00451
                  63,            0.046286,            0.018043,                   0,             0.48911,             0.54054,             0.53602,             0.24209,            0.046083,            0.011918,                   0,             0.00442,             0.00442,             0.00442
                  64,            0.046694,            0.018647,                   0,              0.5696,             0.52759,             0.57449,             0.25325,            0.045786,            0.010941,                   0,             0.00433,             0.00433,             0.00433
                  65,             0.04587,            0.018213,                   0,             0.55588,             0.61737,             0.60755,             0.27037,            0.046063,            0.010961,                   0,             0.00424,             0.00424,             0.00424
                  66,            0.045984,            0.017704,                   0,             0.55234,             0.59122,             0.56935,             0.25049,            0.046607,             0.01113,                   0,             0.00415,             0.00415,             0.00415
                  67,            0.045712,            0.017603,                   0,             0.58114,             0.53435,             0.57241,             0.24483,            0.046182,            0.011335,                   0,             0.00406,             0.00406,             0.00406
                  68,             0.04513,            0.018411,                   0,             0.59369,             0.61149,             0.59977,              0.2593,            0.046291,            0.010664,                   0,             0.00397,             0.00397,             0.00397
                  69,            0.045699,            0.017263,                   0,             0.56801,             0.54392,             0.57369,             0.25343,            0.045793,             0.01058,                   0,             0.00388,             0.00388,             0.00388
                  70,            0.045666,            0.018118,                   0,             0.51461,             0.63514,             0.57603,             0.25449,             0.04624,            0.010941,                   0,             0.00379,             0.00379,             0.00379
                  71,            0.045061,             0.01821,                   0,             0.51445,             0.62162,             0.56308,             0.26231,            0.044952,            0.010711,                   0,              0.0037,              0.0037,              0.0037
                  72,            0.044612,            0.017867,                   0,             0.54435,             0.64576,             0.59832,             0.26104,            0.044989,            0.010736,                   0,             0.00361,             0.00361,             0.00361
                  73,            0.044432,            0.017695,                   0,             0.59412,             0.57859,             0.59972,             0.27548,            0.044767,            0.010271,                   0,             0.00352,             0.00352,             0.00352
                  74,            0.044855,            0.018156,                   0,             0.56025,             0.56419,             0.56608,             0.25054,            0.045775,            0.010765,                   0,             0.00343,             0.00343,             0.00343
                  75,            0.044039,            0.017479,                   0,             0.63777,             0.57698,             0.60865,             0.27807,            0.043847,            0.010271,                   0,             0.00334,             0.00334,             0.00334
                  76,            0.043802,            0.017816,                   0,             0.54732,             0.65541,             0.63701,             0.27645,            0.044571,             0.01063,                   0,             0.00325,             0.00325,             0.00325
                  77,            0.044175,            0.017606,                   0,             0.56432,             0.56419,             0.59325,             0.26837,            0.045704,            0.011105,                   0,             0.00316,             0.00316,             0.00316
                  78,            0.043141,            0.016771,                   0,             0.54281,             0.60135,             0.58859,             0.26374,            0.045006,            0.010711,                   0,             0.00307,             0.00307,             0.00307
                  79,            0.043521,             0.01785,                   0,             0.53504,             0.59122,             0.56932,             0.25487,            0.045048,            0.011237,                   0,             0.00298,             0.00298,             0.00298
                  80,            0.043112,            0.017121,                   0,              0.5317,             0.64824,             0.58392,             0.26159,            0.045184,            0.010711,                   0,             0.00289,             0.00289,             0.00289
                  81,            0.043538,            0.017786,                   0,             0.54578,             0.61486,             0.58645,              0.2655,             0.04545,            0.011443,                   0,              0.0028,              0.0028,              0.0028
                  82,            0.042974,            0.017133,                   0,             0.53534,             0.59797,             0.58921,             0.26961,            0.045324,            0.010891,                   0,             0.00271,             0.00271,             0.00271
                  83,            0.043147,            0.017422,                   0,              0.5169,             0.63619,              0.5845,             0.26358,            0.045579,            0.011099,                   0,             0.00262,             0.00262,             0.00262
                  84,            0.042848,            0.017073,                   0,              0.5938,             0.58446,             0.60487,             0.28041,            0.044821,            0.010949,                   0,             0.00253,             0.00253,             0.00253
                  85,            0.043514,            0.017219,                   0,             0.60107,               0.625,             0.61243,             0.28995,            0.044398,            0.010756,                   0,             0.00244,             0.00244,             0.00244
                  86,            0.042966,            0.017279,                   0,             0.59172,             0.61824,             0.61206,             0.28721,            0.043807,            0.010428,                   0,             0.00235,             0.00235,             0.00235
                  87,              0.0413,            0.016735,                   0,             0.57458,               0.616,             0.58585,             0.26915,            0.044223,            0.010603,                   0,             0.00226,             0.00226,             0.00226
                  88,            0.041921,            0.016457,                   0,             0.55422,             0.63514,              0.5979,             0.26764,            0.044851,            0.011058,                   0,             0.00217,             0.00217,             0.00217
                  89,            0.041997,            0.017116,                   0,              0.6077,             0.61486,             0.61635,             0.27384,            0.044876,            0.010472,                   0,             0.00208,             0.00208,             0.00208
                  90,            0.041954,            0.017103,                   0,             0.58091,             0.65878,              0.6369,             0.30162,            0.044947,            0.010667,                   0,             0.00199,             0.00199,             0.00199
                  91,            0.042018,            0.017204,                   0,             0.58974,             0.62838,             0.60531,             0.28034,            0.044763,             0.01102,                   0,              0.0019,              0.0019,              0.0019
                  92,            0.041208,            0.016845,                   0,              0.5184,               0.625,             0.55039,             0.25981,            0.043776,            0.010838,                   0,             0.00181,             0.00181,             0.00181
                  93,            0.041195,            0.017378,                   0,             0.59991,             0.61486,             0.59291,             0.27271,            0.045202,            0.010605,                   0,             0.00172,             0.00172,             0.00172
                  94,            0.040881,             0.01697,                   0,             0.55837,             0.65203,             0.59135,             0.27566,            0.045327,             0.01042,                   0,             0.00163,             0.00163,             0.00163
                  95,            0.041129,            0.016405,                   0,             0.62418,             0.59122,             0.60552,             0.29103,            0.044044,            0.010694,                   0,             0.00154,             0.00154,             0.00154
                  96,            0.040957,            0.016432,                   0,             0.58045,             0.59122,             0.59299,             0.26153,            0.045294,            0.011627,                   0,             0.00145,             0.00145,             0.00145
                  97,            0.041529,            0.016872,                   0,             0.59373,             0.62838,             0.61694,             0.28749,            0.043488,            0.010668,                   0,             0.00136,             0.00136,             0.00136
                  98,            0.040387,            0.016238,                   0,             0.60753,             0.65369,             0.64694,             0.29283,            0.044379,            0.010824,                   0,             0.00127,             0.00127,             0.00127
                  99,            0.040224,            0.016726,                   0,             0.56918,             0.64189,             0.62323,             0.28303,            0.044408,            0.010914,                   0,             0.00118,             0.00118,             0.00118
